,Table,Row,DataFrame Type,CQL Type,Description,Special
193,previous_application.csv,NAME_CONTRACT_STATUS,StringType,,"Contract status (approved, cancelled, ...) of previous application",
194,previous_application.csv,DAYS_DECISION,IntegerType,,Relative to current application when was the decision about previous application made,time only relative to the application
195,previous_application.csv,NAME_PAYMENT_TYPE,StringType,,Payment method that client chose to pay for the previous application,
196,previous_application.csv,CODE_REJECT_REASON,StringType,,Why was the previous application rejected,
197,previous_application.csv,NAME_TYPE_SUITE,StringType,,Who accompanied client when applying for the previous application,
198,previous_application.csv,NAME_CLIENT_TYPE,StringType,,Was the client old or new client when applying for the previous application,
199,previous_application.csv,NAME_GOODS_CATEGORY,StringType,,What kind of goods did the client apply for in the previous application,
200,previous_application.csv,NAME_PORTFOLIO,StringType,,"Was the previous application for CASH, POS, CAR, ?",
201,previous_application.csv,NAME_PRODUCT_TYPE,StringType,,Was the previous application x-sell o walk-in,
202,previous_application.csv,CHANNEL_TYPE,StringType,,Through which channel we acquired the client on the previous application,
203,previous_application.csv,SELLERPLACE_AREA,IntegerType,,Selling area of seller place of the previous application,
204,previous_application.csv,NAME_SELLER_INDUSTRY,StringType,,The industry of the seller,
205,previous_application.csv,CNT_PAYMENT,IntegerType,,Term of previous credit at application of the previous application,
206,previous_application.csv,NAME_YIELD_GROUP,StringType,,Grouped interest rate into small medium and high of the previous application,grouped
207,previous_application.csv,PRODUCT_COMBINATION,StringType,,Detailed product combination of the previous application,
208,previous_application.csv,DAYS_FIRST_DRAWING,IntegerType,,Relative to application date of current application when was the first disbursement of the previous application,time only relative to the application
209,previous_application.csv,DAYS_FIRST_DUE,IntegerType,,Relative to application date of current application when was the first due supposed to be of the previous application,time only relative to the application
210,previous_application.csv,DAYS_LAST_DUE_1ST_VERSION,IntegerType,,Relative to application date of current application when was the first due of the previous application,time only relative to the application
211,previous_application.csv,DAYS_LAST_DUE,IntegerType,,Relative to application date of current application when was the last due date of the previous application,time only relative to the application
212,previous_application.csv,DAYS_TERMINATION,IntegerType,,Relative to application date of current application when was the expected termination of the previous application,time only relative to the application
213,previous_application.csv,NFLAG_INSURED_ON_APPROVAL,ShortType,,Did the client requested insurance during the previous application,
214,installments_payments.csv,SK_ID_PREV ,,,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",hashed
215,installments_payments.csv,SK_ID_CURR,,,ID of loan in our sample,hashed
216,installments_payments.csv,NUM_INSTALMENT_VERSION,IntegerType,,Version of installment calendar (0 is for credit card) of previous credit. Change of installment version from month to month signifies that some parameter of payment calendar has changed,
217,installments_payments.csv,NUM_INSTALMENT_NUMBER,IntegerType,,On which installment we observe payment,
218,installments_payments.csv,DAYS_INSTALMENT,IntegerType,,When the installment of previous credit was supposed to be paid (relative to application date of current loan),time only relative to the application
219,installments_payments.csv,DAYS_ENTRY_PAYMENT,IntegerType,,When was the installments of previous credit paid actually (relative to application date of current loan),time only relative to the application
220,installments_payments.csv,AMT_INSTALMENT,DoubleType,,What was the prescribed installment amount of previous credit on this installment,
221,installments_payments.csv,AMT_PAYMENT,DoubleType,,What the client actually paid on previous credit on this installment,
